Province,Year,Month,month_english,date,malaria_cases,precip_mm,IOSD_Index,ENSO_ONI,precip_lag0,precip_lag1,precip_lag2,iosd_lag0,iosd_lag1,iosd_lag2,enso_lag0,enso_lag1,enso_lag2,Season,temp_C,temp_lag0,temp_lag1,temp_lag2,temp_lag3,temp_lag4,temp_lag5,temp_lag6,precip_lag3,iosd_lag3,enso_lag3
Inhambane,2021,7,July,2021-07-01,44982,31.27732554626401,-1.1842346,-0.4,31.27732554626401,55.76463612462017,21.72473868109448,-1.1842346,-0.5801697,0.058380127,-0.4,-0.38,-0.48,Dry,19.28784928939961,19.28784928939961,19.67044003804525,21.25983715057373,23.837744390522992,25.42890775203705,26.0333376372302,26.826808196526983,26.547020629238443,0.70388794,-0.6599999999999999
Inhambane,2021,8,August,2021-08-01,46964,8.519967486153146,-1.4432373,-0.49,8.519967486153146,31.27732554626401,55.76463612462017,-1.4432373,-1.1842346,-0.5801697,-0.49,-0.4,-0.38,Dry,20.94414038569839,20.94414038569839,19.28784928939961,19.67044003804525,21.25983715057373,23.837744390522992,25.42890775203705,26.0333376372302,21.72473868109448,0.058380127,-0.48
Inhambane,2021,9,September,2021-09-01,40466,7.68430008484029,-1.2424927,-0.6699999999999999,7.68430008484029,8.519967486153146,31.27732554626401,-1.2424927,-1.4432373,-1.1842346,-0.6699999999999999,-0.49,-0.4,Dry,22.569948929327506,22.569948929327506,20.94414038569839,19.28784928939961,19.67044003804525,21.25983715057373,23.837744390522992,25.42890775203705,55.76463612462017,-0.5801697,-0.38
Inhambane,2021,10,October,2021-10-01,50717,22.612771365871556,-0.76416016,-0.81,22.612771365871556,7.68430008484029,8.519967486153146,-0.76416016,-1.2424927,-1.4432373,-0.81,-0.6699999999999999,-0.49,Dry,23.05456061274917,23.05456061274917,22.569948929327506,20.94414038569839,19.28784928939961,19.67044003804525,21.25983715057373,23.837744390522992,31.27732554626401,-1.1842346,-0.4
Inhambane,2021,11,November,2021-11-01,62448,42.54209152448607,0.22665405,-0.98,42.54209152448607,22.612771365871556,7.68430008484029,0.22665405,-0.76416016,-1.2424927,-0.98,-0.81,-0.6699999999999999,Wet,25.564181959187543,25.564181959187543,23.05456061274917,22.569948929327506,20.94414038569839,19.28784928939961,19.67044003804525,21.25983715057373,8.519967486153146,-1.4432373,-0.49
Inhambane,2021,12,December,2021-12-01,61763,90.7729682046134,0.7562256,-0.98,90.7729682046134,42.54209152448607,22.612771365871556,0.7562256,0.22665405,-0.76416016,-0.98,-0.98,-0.81,Wet,26.680688619613647,26.680688619613647,25.564181959187543,23.05456061274917,22.569948929327506,20.94414038569839,19.28784928939961,19.67044003804525,7.68430008484029,-1.2424927,-0.6699999999999999
Inhambane,2022,1,January,2022-01-01,73645,82.0538939197649,1.3017273,-0.97,82.0538939197649,90.7729682046134,42.54209152448607,1.3017273,0.7562256,0.22665405,-0.97,-0.98,-0.98,Wet,26.290473068201983,26.290473068201983,26.680688619613647,25.564181959187543,23.05456061274917,22.569948929327506,20.94414038569839,19.28784928939961,22.612771365871556,-0.76416016,-0.81
Inhambane,2022,2,February,2022-02-01,77689,42.42829860119059,0.25091553,-0.93,42.42829860119059,82.0538939197649,90.7729682046134,0.25091553,1.3017273,0.7562256,-0.93,-0.97,-0.98,Wet,26.949280350296583,26.949280350296583,26.290473068201983,26.680688619613647,25.564181959187543,23.05456061274917,22.569948929327506,20.94414038569839,42.54209152448607,0.22665405,-0.98
Inhambane,2022,3,March,2022-03-01,70876,138.9112576863616,0.53408813,-0.99,138.9112576863616,42.42829860119059,82.0538939197649,0.53408813,0.25091553,1.3017273,-0.99,-0.93,-0.97,Wet,25.513379207363837,25.513379207363837,26.949280350296583,26.290473068201983,26.680688619613647,25.564181959187543,23.05456061274917,22.569948929327506,90.7729682046134,0.7562256,-0.98
Inhambane,2022,4,April,2022-04-01,75690,155.57892694998966,0.30633545,-1.06,155.57892694998966,138.9112576863616,42.42829860119059,0.30633545,0.53408813,0.25091553,-1.06,-0.99,-0.93,Wet,24.30716840867643,24.30716840867643,25.513379207363837,26.949280350296583,26.290473068201983,26.680688619613647,25.564181959187543,23.05456061274917,82.0538939197649,1.3017273,-0.97
